Source,Target
209112,383498
49521,383498
155,383498
272,383498
10138,383498
1572,402900
949,402900
75656,402900
259316,402900
402900,489931
43923,466282
449176,466282
308369,466282
9880,466282
12689,466282
141052,363088
49521,363088
297762,363088
209112,363088
99861,363088
64255,462919
2976,462919
621,462919
224141,462919
429417,462919
449176,454983
49022,454983
84892,454983
101299,454983
9769,454983
141052,293660
1924,293660
1452,293660
8536,293660
9531,293660
455980,460019
380,455980
254470,455980
260514,455980
390043,455980
283995,299536
1924,283995
1452,283995
8536,283995
9531,283995
228326,354912
4011,354912
745,354912
254470,354912
6477,354912
479,177572
177572,281957
73,177572
2048,177572
177572,238636
269149,278927
101299,269149
269149,338970
269149,346364
10315,269149
1883,487558
389015,487558
769,487558
424,487558
399404,487558
812,150540
150540,260513
12092,150540
11360,150540
2300,150540
8966,455207
9880,455207
449176,455207
455207,466282
454983,455207
98566,194662
272,194662
49026,194662
14,194662
155,194662
2062,460668
694,460668
745,460668
453,460668
433,460668
20352,342473
20352,93456
20352,309809
20352,20497
19101,20352
769,420814
424,420814
316029,420814
324786,420814
389015,420814
291805,467938
260346,291805
281957,291805
241554,291805
291805,357096
49017,400155
277,400155
7131,400155
24021,400155
2907,400155
376660,437557
10735,437557
11631,437557
391713,437557
14,437557
1726,207703
99861,207703
102899,207703
68721,207703
49521,207703
275,445571
445571,473149
309809,445571
984,445571
270487,445571
224141,458423
11224,458423
812,458423
621,458423
11631,458423
2976,313369
525,313369
10947,313369
313369,342473
705,313369
387592,399174
263109,399174
531,399174
533,399174
530,399174
49519,93456
93456,207703
93456,116711
93456,324852
272,98566
68721,98566
1930,98566
98566,209112
98566,297762
106646,261023
4771,106646
769,106646
106646,398181
106646,400535
251516,257344
257344,333339
620,257344
27205,257344
603,257344
425,49519
425,10567
425,387592
425,278154
425,17610
585,62211
585,1124
585,339404
585,13374
275,585
3134,454619
357096,454619
281957,454619
156022,454619
238636,454619
10625,455656
89185,455656
272693,455656
19840,455656
37725,455656
310,604
310,9946
310,311
145,310
310,6557
808,809
808,10882
808,10140
808,10020
808,224141
2300,474335
449749,474335
773,474335
83770,474335
1696,474335
10029,18785
18785,429733
627,18785
18785,45243
12593,18785
376867,449176
398818,449176
26280,449176
26933,449176
184352,449176
562,340022
1571,340022
1572,340022
27576,340022
2502,340022
767,257445
671,257445
674,257445
12444,257445
12445,257445
14372,339846
2756,339846
339846,545957
228165,339846
11836,339846
10144,62177
62177,109445
10895,62177
10555,62177
10882,62177
260514,335797
9836,335797
258509,335797
9986,335797
9447,335797
333339,353486
131631,353486
258489,353486
314095,353486
70160,353486
10140,270946
808,270946
812,270946
12,270946
953,270946
10882,224141
224141,321612
150689,224141
809,224141
350,8966
350,9880
350,50619
350,84892
350,449176
49519,387592
278154,387592
60308,387592
9655,387592
214756,250546
10193,214756
72105,214756
11249,214756
11932,214756
76492,159824
671,159824
672,159824
675,159824
767,159824
52449,218746
59861,218746
10830,218746
194,218746
218746,372058
9479,14160
3933,14160
14160,326359
14160,32085
14160,145316
114150,254470
254470,290762
6477,254470
525,254470
12437,181533
122,181533
81,181533
863,181533
1777,181533
12271,179144
627,179144
8363,179144
11801,179144
179144,306819
1865,166426
22,166426
58,166426
285,166426
71805,166426
920,364689
6477,364689
1265,364689
9986,364689
25475,364689
8989,446894
446894,487283
413644,446894
353997,446894
14220,446894
607,608
601,608
395,608
608,840
608,954
2976,6477
2976,409447
630,2976
525,2976
258509,260514
9986,260514
9447,260514
9598,260514
245891,390043
249070,390043
59967,390043
787,390043
156022,390043
345,418827
802,418827
10068,418827
4561,418827
53932,418827
862,72105
24420,72105
13523,72105
19913,72105
1024,72105
787,249070
787,956
101,787
787,156022
9880,272693
9880,19840
9880,449176
9880,81250
9880,286565
370663,452731
258480,452731
10818,452731
437557,452731
39781,452731
433,11631
10735,11631
11631,109445
393,11631
128,920
920,127380
920,62211
920,11006
8067,227159
483,227159
562,227159
1571,227159
769,227159
81,507562
12429,507562
372058,507562
128,507562
129,507562
376660,391713
10818,391713
376867,391713
391713,398818
817,818
818,955
608,818
818,238713
411,818
9325,13053
927,13053
11886,13053
10948,13053
2698,13053
425,950
435,950
950,7840
950,387893
11130,400617
787,11130
812,11130
13,11130
597,11130
954,228967
955,228967
228967,254904
137094,228967
228967,429351
862,10193
863,10193
10193,72105
10193,62211
425,57800
30505,57800
17610,57800
10567,57800
18905,57800
194,1278
194,26973
194,707
194,8195
194,10204
77338,290762
44564,77338
862,77338
13,77338
41630,77338
1440,71552
843,71552
14,71552
787,71552
71552,112160
100042,290762
44564,100042
862,100042
920,100042
13,100042
41630,55721
862,41630
13,41630
41630,397422
41630,68718
1934,370567
91745,370567
10705,370567
10688,370567
297708,370567
62764,290595
58595,62764
675,62764
10140,62764
672,62764
12,127380
9479,127380
10555,127380
10315,127380
87567,225886
225886,290762
49519,225886
38,225886
787,225886
769,384677
2291,384677
968,384677
10707,384677
11517,384677
4247,22705
4247,429733
4247,238636
4247,339692
4247,398181
8392,49519
12429,49519
98,49519
9502,140300
9502,278927
24,9502
604,9502
605,9502
8355,351286
329,8355
8355,105864
8355,135397
8355,88751
984,4638
4638,4771
4638,13820
4638,429733
2142,4638
691,454992
646,454992
954,454992
37724,454992
206647,454992
118,252
118,10830
118,9880
118,50619
118,12445
19913,50544
862,19913
19913,398818
38,19913
521,19913
539,120467
311,120467
97630,120467
843,120467
3021,120467
2062,6283
2062,308531
2062,10009
2062,10199
2062,212778
13,35
35,398818
35,5915
35,122906
35,421
4011,43074
620,43074
43074,91586
43074,416234
1930,43074
193893,473149
3580,193893
4771,193893
86838,193893
11423,193893
101299,210860
210860,336843
210860,281957
12155,210860
32657,210860
521,397422
862,397422
13,397422
68718,397422
72105,397422
17610,278154
49519,278154
18905,278154
256961,324668
298,256961
11078,256961
646,256961
18785,256961
9975,82690
604,301337
605,301337
301337,335984
301337,500664
9739,301337
27576,203801
691,203801
954,203801
37724,203801
203801,206647
277216,400579
2758,400579
433,400579
380,400579
111,400579
10140,324852
16314,324852
36819,324852
20352,324852
109414,179144
627,109414
109414,397422
8363,109414
935,109414
8363,17899
8363,449176
8363,15144
8363,376660
8966,371638
769,371638
424,371638
9880,371638
371638,425336
179144,271718
8363,271718
510,271718
195589,271718
10312,271718
211672,366141
20352,211672
93456,211672
211672,324852
350,211672
1593,18360
863,18360
18360,181533
18360,44826
15849,18360
954,238713
955,238713
238713,302699
27576,238713
954,302699
27576,302699
691,302699
213,302699
646,302699
157336,502422
21385,502422
10144,502422
326359,502422
20722,502422
612,10661
10661,433627
8850,10661
8885,10661
67,10661
954,37834
37834,47971
37724,37834
646,37834
9737,37834
809,10882
809,150689
809,810
809,10140
268531,346364
268531,406997
10830,268531
862,268531
268531,269149
634,10735
9813,10735
10735,296096
4944,50546
1586,4944
4944,332872
4944,11588
4944,455565
106646,318846
769,318846
424,318846
316029,318846
318846,324786
954,9471
955,9471
956,9471
646,9471
668,9471
11395,431530
13673,431530
10872,431530
10147,431530
8871,431530
585,137116
20352,137116
137116,150540
62211,137116
1124,137116
1368,7443
1635,7443
7443,107846
708,7443
1701,7443
924,9339
9339,264644
9339,82703
1597,9339
2044,9339
16314,454283
105,454283
18885,454283
1562,454283
1726,454283
10625,89185
10625,272693
10625,37725
9880,10625
10625,449176
3034,109451
3035,109451
2062,109451
9738,109451
109451,399055
51828,200727
200727,449176
200727,281957
200727,417678
11121,200727
52449,59861
9769,59861
59861,103663
14069,59861
13374,59861
11224,196867
150689,196867
196867,224141
9325,196867
196867,342473
46195,172385
46195,278927
9325,46195
14873,46195
15969,46195
18885,356305
272,356305
49519,356305
12429,356305
116711,356305
9479,460793
812,460793
150540,460793
8871,460793
62177,460793
10191,82702
425,82702
111,82702
82702,476926
82702,277216
206487,433310
24420,433310
59967,433310
87101,433310
273271,433310
449176,511785
400547,511785
376867,511785
184352,511785
11000,511785
949,399170
395990,399170
399170,430040
399170,449443
291805,399170
10545,342473
9325,342473
6557,9522
9522,50124
712,9522
24,9522
787,9522
10527,80321
80321,270946
10258,80321
9836,80321
953,80321
290762,370663
290762,376660
13,290762
290762,391713
451480,502682
5951,502682
448514,502682
125255,502682
51540,398181
557,51540
51540,64685
45269,51540
7485,51540
9023,326359
9023,13933
9023,145316
9023,504492
9023,194079
14,112160
112160,449176
53932,112160
112160,117486
86331,112160
141052,324849
1924,324849
1452,324849
8536,324849
9531,324849
22970,460885
11298,22970
22970,98568
22970,298584
17609,22970
652,10501
818,10501
22,10501
24,10501
1865,10501
19908,336843
170,19908
19908,72190
19908,82654
1562,19908
10140,116149
116149,278927
116149,281957
411,116149
671,116149
2770,22705
2770,17899
2770,106646
2770,179144
2770,11129
137094,337170
254904,337170
813,337170
954,337170
955,337170
15069,429733
357096,429733
984,429733
395990,429733
238636,429733
4248,22705
4248,106646
4247,4248
4248,339692
4248,370663
2022,20863
9813,18240
11631,18240
18240,437557
35,18240
5915,18240
179144,195589
195589,325133
8363,195589
17899,195589
195589,376659
114150,460019
114150,368031
114150,290762
114150,122081
76726,376660
376660,449176
10625,376660
9472,13374
9472,348893
9472,312221
9472,49524
9472,319888
18885,339404
1124,339404
272,339404
20352,339404
769,171274
8966,171274
9880,171274
403,171274
171274,222935
37725,37735
9880,37735
37735,449176
14671,37735
8363,37735
10625,187017
187017,272693
19840,187017
37725,187017
9880,187017
10144,11688
809,11688
10882,11688
810,11688
808,11688
957,4258
3034,4258
808,4258
762,4258
813,4258
100042,264999
920,264999
9737,264999
264999,390043
264999,474335
172385,390062
172385,258489
9352,172385
10159,172385
89185,174321
9880,174321
174321,449176
10625,174321
174321,325189
348,41154
601,41154
607,41154
608,41154
602,41154
10555,109445
578,10555
10555,297762
4256,40264
4256,5060
3034,4256
4256,4258
4256,378991
44147,49524
11423,49524
49524,238636
49524,210577
752,49524
988,38357
38357,300693
16363,38357
13812,38357
12239,38357
10591,272693
10591,10625
10591,37725
9880,10591
10591,449176
7453,299687
7453,101299
7453,336843
7453,126889
644,7453
10625,487702
272693,487702
19840,487702
37725,487702
9880,487702
818,267193
954,267193
267193,353081
36669,267193
267193,302699
49521,308531
1724,308531
99861,308531
141052,308531
209112,308531
298,44896
44896,324668
524,44896
11358,44896
8065,44896
812,487063
270946,487063
444705,487063
23483,487063
416477,487063
634,1581
634,258480
634,11631
14,634
392,8204
392,745
392,601
392,11631
13,392
44564,239563
239563,290762
862,239563
13,239563
41630,239563
10587,168530
11001,168530
168530,323675
11825,168530
10157,168530
88751,351286
12155,88751
32657,88751
671,88751
674,88751
44125,489929
346364,489929
329865,489929
339846,489929
372058,489929
179144,223702
8363,223702
12593,223702
195589,223702
9986,223702
272,256591
1124,256591
256591,264660
796,256591
36647,256591
4771,50022
15069,50022
11423,50022
984,50022
50022,193893
18785,109439
45243,109439
8859,109439
981,109439
87502,109439
254470,353616
114150,353616
353616,354912
335797,353616
353616,419478
11430,150689
9732,11430
810,11430
10527,11430
606,11430
101299,205321
1979,205321
578,205321
562,205321
1572,205321
8966,59436
59436,333339
350,59436
411,59436
10140,59436
4327,11841
24,4327
4327,9502
4327,9053
604,4327
920,6477
6477,10191
6477,6575
11397,15144
9880,11397
10625,11397
11397,40264
11355,11397
402897,425980
14,425980
109414,425980
1359,425980
935,425980
13374,449176
13374,18126
1124,13374
433,382591
11631,382591
118,382591
10735,382591
260513,382591
1593,351286
1593,135397
1593,181533
1593,105864
1593,88751
49519,399796
325133,399796
12429,399796
13969,399796
8277,399796
808,140300
10140,140300
10191,140300
809,140300
10830,400928
52449,400928
103663,400928
400928,437670
233063,400928
1268,9479
1268,1281
1268,1581
1268,8871
1268,17979
9637,10198
253,9637
9637,10585
2667,9637
9637,307663
257211,273153
257211,370663
11631,257211
257211,437557
10735,257211
411,346648
278927,346648
2454,346648
281957,346648
10140,346648
119450,254320
782,254320
280,254320
63,254320
76341,254320
10315,467938
10315,281957
956,10315
10315,359940
11024,293167
11024,268896
10528,11024
949,11024
189,11024
22705,50124
14174,22705
22705,27066
22705,55580
22705,24402
24420,381341
1024,381341
290762,381341
1259,381341
44564,381341
238,112205
1422,112205
707,112205
8195,112205
112205,154400
330459,503314
1894,503314
1891,503314
1892,503314
11,503314
134374,397422
111,134374
272,134374
9737,134374
134374,339846
920,49013
49013,270946
585,49013
12,49013
49013,335797
45243,339692
20289,45243
45243,429733
627,45243
10625,507143
89185,507143
272693,507143
19840,507143
37725,507143
109414,503619
935,503619
14,503619
419430,503619
1359,503619
273153,518452
370663,518452
11631,518452
437557,518452
502422,518452
129,76492
767,76492
671,76492
672,76492
15766,496704
124905,496704
7191,496704
268896,496704
373571,496704
10947,11887
2105,11887
11887,449176
11887,308369
11887,376660
64688,193893
64688,187017
11423,64688
64688,75780
1422,64688
620,4257
4257,91586
4011,4257
4257,11548
4257,166426
7326,449176
2108,7326
7326,9880
7326,315635
7326,15144
22538,359784
16129,22538
9958,22538
22538,49332
22538,42542
121826,354912
121826,254470
121826,313369
2976,121826
121826,245891
843,4380
4380,4507
4380,28468
521,4380
4148,4380
378236,416494
339988,378236
378236,381341
212778,378236
378236,543631
174188,449176
174188,325189
2108,174188
9880,174188
4951,174188
862,59962
19913,59962
59962,290762
1628,59962
59962,376660
11887,325189
9880,325189
272693,325189
2105,325189
325189,449176
812,77931
9479,77931
38757,77931
62177,77931
14160,77931
24420,50546
1259,50546
50546,225886
521,50546
38,50546
400547,437670
52449,437670
8841,437670
8363,437670
59861,437670
281957,331588
331588,392044
101299,331588
331588,336843
133805,331588
1690,19994
19994,376660
588,19994
19994,133805
2108,19994
3981,11631
3981,437557
3981,10735
3981,297762
3981,273153
233063,400547
8841,233063
52449,233063
8363,233063
59861,233063
862,9297
956,9297
9297,293167
9297,268896
9297,124905
840,39513
601,39513
602,39513
20424,39513
39513,49849
150117,179144
87567,150117
11931,150117
49524,150117
521,150117
4771,138832
138832,339692
138832,429733
138832,398181
138832,273481
15165,224141
11224,15165
10020,15165
11631,15165
10674,15165
82693,417678
14313,82693
82693,272693
82693,109689
8966,82693
425,209244
49519,209244
6283,209244
637,209244
93456,209244
13523,50544
862,50544
38,50544
1903,50544
272693,449176
272693,286565
272693,308369
1259,272693
1574,1645
1574,396371
1574,11560
389,1574
1574,413362
306,8961
96,8961
8961,9737
1572,8961
8961,9679
14578,17899
17899,122081
17899,106646
